pv_name,rmse,mae,r2,gof,n_train,n_val
pv_126,15.128230610066815,11.413958063131757,0.7148237040869849,83.78108337942987,52046,97
pv_128,15.28837719990343,11.43767501193838,0.7087154253276751,83.60224737868982,52047,97
pv_130,15.301782159359798,11.499351722604219,0.7081873428304787,83.58491053506305,52047,97
pv_132,15.324589705066332,11.464942265085341,0.7072718263732742,83.55215790469823,52047,97
pv_134,13.999299064372234,10.628877254767517,0.7556947467507745,84.9709953409971,52051,97
pv_136,14.87718554691771,11.093874380324305,0.7240846822580456,84.02729518974313,52052,97
pv_138,15.23604248686136,11.494730072537648,0.7105596642039845,83.63208749155677,52053,97
pv_14,14.365119190311312,10.759101002431407,0.7407641463978514,84.09260556798344,52048,97
pv_140,14.829579499402971,11.124880321256278,0.7257682096642786,84.0635266989657,52055,97
pv_142,15.547205590646325,11.856541710624992,0.6991783272234202,83.40124575021355,52050,97
pv_144,13.868424903336429,10.492130537598404,0.76061781458566,85.19009316609274,52051,97
pv_146,14.005829159016788,10.539149139412899,0.755830443045016,85.03950688516169,52052,97
pv_148,14.204590690284677,10.887069399415218,0.7488432456460313,84.82603004716034,52054,97
pv_150,14.202006118356953,10.845391006285384,0.748892926045864,84.82078315797973,52054,97
pv_152,14.660318609163912,11.185201311689063,0.7323960752367844,84.3257970460426,52055,97
pv_154,14.648293148862292,11.182598422970049,0.7328192820030751,84.33613453102431,52055,97
pv_156,14.703076600227446,11.113444813877036,0.7307846212828153,84.27168755088105,52055,97
pv_158,14.90151015425493,11.387982567499595,0.7234338659419188,84.05316112575247,52055,97
pv_16,14.162812883075661,10.606322493405688,0.7480186996789431,84.3185980566439,52048,97
