datetime,datetime_naive,GHI_clear,solar_elev,GHI_measured,CSI_measured,NSRDB_CSI,S2_CSI,S2_mask,S3_CSI,S3_mask,CSI_IDW_fallback,CSI_zeroshot,CSI_final,GHI_final,source
2024-01-01 07:05:00+00:00,2024-01-01 07:05:00,0.0,-63.793381578830505,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 07:10:00+00:00,2024-01-01 07:10:00,0.0,-64.20199371098829,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 07:15:00+00:00,2024-01-01 07:15:00,0.0,-64.5776499597821,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 07:20:00+00:00,2024-01-01 07:20:00,0.0,-64.9188053856743,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 07:25:00+00:00,2024-01-01 07:25:00,0.0,-65.22397697082747,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 07:30:00+00:00,2024-01-01 07:30:00,0.0,-65.49176881351606,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 07:35:00+00:00,2024-01-01 07:35:00,0.0,-65.72089893591776,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 07:40:00+00:00,2024-01-01 07:40:00,0.0,-65.91022563202587,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 07:45:00+00:00,2024-01-01 07:45:00,0.0,-66.05877277456567,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 07:50:00+00:00,2024-01-01 07:50:00,0.0,-66.16575300045534,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 07:55:00+00:00,2024-01-01 07:55:00,0.0,-66.23058703653308,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 08:00:00+00:00,2024-01-01 08:00:00,0.0,-66.25291867331745,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 08:05:00+00:00,2024-01-01 08:05:00,0.0,-66.23262405617997,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 08:10:00+00:00,2024-01-01 08:10:00,0.0,-66.1698150010848,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 08:15:00+00:00,2024-01-01 08:15:00,0.0,-66.0648360362877,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 08:20:00+00:00,2024-01-01 08:20:00,0.0,-65.91825528999522,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 08:25:00+00:00,2024-01-01 08:25:00,0.0,-65.73084988773269,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 08:30:00+00:00,2024-01-01 08:30:00,0.0,-65.50358677536573,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 08:35:00+00:00,2024-01-01 08:35:00,0.0,-65.23759965792772,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 08:40:00+00:00,2024-01-01 08:40:00,0.0,-64.93416397170753,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 08:45:00+00:00,2024-01-01 08:45:00,0.0,-64.59467013565282,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 08:50:00+00:00,2024-01-01 08:50:00,0.0,-64.22059734412873,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 08:55:00+00:00,2024-01-01 08:55:00,0.0,-63.81348757762417,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 09:00:00+00:00,2024-01-01 09:00:00,0.0,-63.37492206222081,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 09:05:00+00:00,2024-01-01 09:05:00,0.0,-62.90649920887132,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 09:10:00+00:00,2024-01-01 09:10:00,0.0,-62.40981567838798,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 09:15:00+00:00,2024-01-01 09:15:00,0.0,-61.88645029688889,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 09:20:00+00:00,2024-01-01 09:20:00,0.0,-61.337950069006624,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 09:25:00+00:00,2024-01-01 09:25:00,0.0,-60.765819907886375,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 09:30:00+00:00,2024-01-01 09:30:00,0.0,-60.171513701699396,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 09:35:00+00:00,2024-01-01 09:35:00,0.0,-59.55642881394769,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 09:40:00+00:00,2024-01-01 09:40:00,0.0,-58.9219012877945,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 09:45:00+00:00,2024-01-01 09:45:00,0.0,-58.26920401378239,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 09:50:00+00:00,2024-01-01 09:50:00,0.0,-57.59954503896425,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 09:55:00+00:00,2024-01-01 09:55:00,0.0,-56.91406784117668,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 10:00:00+00:00,2024-01-01 10:00:00,0.0,-56.213852541733615,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 10:05:00+00:00,2024-01-01 10:05:00,0.0,-55.499916875811714,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 10:10:00+00:00,2024-01-01 10:10:00,0.0,-54.77321907944431,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 10:15:00+00:00,2024-01-01 10:15:00,0.0,-54.03465962574981,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 10:20:00+00:00,2024-01-01 10:20:00,0.0,-53.285084753794116,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 10:25:00+00:00,2024-01-01 10:25:00,0.0,-52.52528857125787,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 10:30:00+00:00,2024-01-01 10:30:00,0.0,-51.7560168199345,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 10:35:00+00:00,2024-01-01 10:35:00,0.0,-50.977969133059005,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 10:40:00+00:00,2024-01-01 10:40:00,0.0,-50.19180226090516,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 10:45:00+00:00,2024-01-01 10:45:00,0.0,-49.39813324079617,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 10:50:00+00:00,2024-01-01 10:50:00,0.0,-48.597541402914935,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 10:55:00+00:00,2024-01-01 10:55:00,0.0,-47.790571848757516,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 11:00:00+00:00,2024-01-01 11:00:00,0.0,-46.977737089758854,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 11:05:00+00:00,2024-01-01 11:05:00,0.0,-46.15952027424455,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 11:10:00+00:00,2024-01-01 11:10:00,0.0,-45.33637653917982,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 11:15:00+00:00,2024-01-01 11:15:00,0.0,-44.50873597431754,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 11:20:00+00:00,2024-01-01 11:20:00,0.0,-43.677004803540356,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 11:25:00+00:00,2024-01-01 11:25:00,0.0,-42.841567536442895,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 11:30:00+00:00,2024-01-01 11:30:00,0.0,-42.00278900580746,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
2024-01-01 11:35:00+00:00,2024-01-01 11:35:00,0.0,-41.1610151632285,,,-1.0,-1.0,0.0,-1.0,0.0,,,0.0,0.0,night
